,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
162,Garissa,KE,-0.4536,39.6401,87.87,27,95,4.21,overcast clouds
163,Pisco,PE,-13.7,-76.2167,77.05,65,0,10.36,clear sky
164,Vila Velha,BR,-20.3297,-40.2925,85.95,73,20,14.97,few clouds
165,Ambilobe,MG,-13.2,49.05,75.4,88,99,0.67,overcast clouds
166,Tougan,BF,13.0667,-3.0667,90.21,8,27,9.1,scattered clouds
167,Iquique,CL,-20.2208,-70.1431,75.24,66,40,9.57,scattered clouds
168,Provideniya,RU,64.3833,-173.3,-17.27,85,48,10.71,scattered clouds
169,Tuktoyaktuk,CA,69.4541,-133.0374,-11.2,77,20,9.22,few clouds
170,Udachnyy,RU,66.4167,112.4,-55.16,100,70,4.21,broken clouds
171,Kapaa,US,22.0752,-159.319,66.52,82,0,9.22,clear sky
172,Luganville,VU,-15.5333,167.1667,77.22,87,95,4.38,moderate rain
173,Ayolas,PY,-27.4,-56.9,104.0,20,0,4.74,clear sky
174,Kota Kinabalu,MY,5.9749,116.0724,78.78,89,20,4.61,few clouds
175,Leningradskiy,RU,69.3833,178.4167,-25.15,98,100,7.7,overcast clouds
176,Port Elizabeth,ZA,-33.918,25.5701,78.31,96,100,11.5,overcast clouds
177,Tiznit,MA,29.5833,-9.5,56.1,71,4,11.39,clear sky
178,Thompson,CA,55.7435,-97.8558,12.36,85,100,0.0,overcast clouds
179,Mahebourg,MU,-20.4081,57.7,79.25,73,40,12.66,scattered clouds
180,Hay River,CA,60.8156,-115.7999,13.98,85,100,4.61,light snow
181,Sassandra,CI,4.95,-6.0833,84.2,65,91,9.6,overcast clouds
182,Chkalovskoye,RU,44.8392,133.0436,3.36,94,100,3.4,overcast clouds
183,Goundam,ML,16.4145,-3.6708,84.7,9,61,8.16,broken clouds
184,Muros,ES,42.7762,-9.0603,45.09,79,100,30.09,overcast clouds
185,Waipawa,NZ,-41.4122,175.5153,53.01,90,2,3.24,clear sky
186,Acari,PE,-15.4311,-74.6158,82.96,54,26,11.9,scattered clouds
187,West Lafayette,US,40.4259,-86.9081,41.58,85,100,16.11,overcast clouds
188,Warangal,IN,18.0,79.5833,69.73,54,0,10.56,clear sky
189,Lerwick,GB,60.1545,-1.1494,39.2,70,82,23.13,light rain
190,Faya,SA,18.3851,42.4509,59.11,78,35,4.5,scattered clouds
191,Carbonia,IT,39.1672,8.5222,59.65,83,55,25.97,broken clouds
192,Clyde River,CA,70.4692,-68.5914,-21.77,76,95,8.05,overcast clouds
193,Matagami,CA,49.7502,-77.6328,24.91,50,40,5.75,scattered clouds
194,Kaitangata,NZ,-46.2817,169.8464,53.24,87,82,1.41,broken clouds
195,Kudahuvadhoo,MV,2.6708,72.8944,80.37,76,77,8.84,broken clouds
196,Luderitz,NA,-26.6481,15.1594,68.22,80,57,11.5,broken clouds
197,Tiksi,RU,71.6872,128.8694,-25.15,100,100,7.27,overcast clouds
198,Ler,SS,8.3018,30.1418,82.35,21,41,5.88,scattered clouds
199,Arcata,US,40.8665,-124.0828,41.67,97,0,6.91,clear sky
200,Westport,US,41.1415,-73.3579,46.09,46,90,1.01,overcast clouds
201,Nizhnyaya Tavda,RU,57.6731,66.1725,8.08,82,9,7.11,clear sky
202,Puerto Ayora,EC,-0.7393,-90.3518,84.16,93,86,5.99,overcast clouds
203,Montepuez,MZ,-13.1256,38.9997,69.33,97,87,3.71,moderate rain
204,Oktyabrskoye,RU,43.0645,44.7417,26.74,93,100,0.0,mist
205,San Patricio,US,28.017,-97.5169,78.08,63,60,7.92,broken clouds
206,Biaora,IN,23.8667,76.9167,52.97,35,10,6.08,clear sky
